Statistics,Total Population,PIT Count,Homelessness per 10000,White Alone,Black Alone,Asian Alone,High School Graduate,Bachelors Degree,Unemployed,Living in Poverty,Married Couple Family,Male Householder,Female Householder,Single Parent Children,Median Household Income,Moved WithIn Same County,Moved From Different County,Moved From Different State,Moved From Abroad,Vacant Units,Actual Renters,30 Percent Income As Rent,50 Percent Income As Rent
Audubon ,8695,3.0,3.450258769,93.9,2.4,0.2,27.2,27.6,3.7,2.4,46.1,6.1,11.9,31.5,3379.0,2.9,0.2,0.9,0.0,4.8,9.9,20.0,20.7
Audubon Park ,1031,0.0,0.0,93.2,1.3,0.0,54.8,11.9,6.6,11.1,21.9,5.2,12.2,21.1,1387.0,1.9,1.9,0.6,0.0,3.4,1.0,15.6,18.7
Barrington ,7022,0.0,0.0,90.0,1.2,3.3,27.0,27.6,5.0,6.4,41.7,5.1,8.2,16.5,2070.0,2.8,1.0,0.1,0.0,2.1,3.8,24.4,15.3
Bellmawr ,11677,3.0,2.569153036,75.3,5.1,9.7,39.4,15.8,3.4,7.3,40.2,10.3,10.0,20.6,1935.0,3.7,1.3,1.0,0.1,6.2,0.3,24.4,12.6
Berlin Borough,7489,0.0,0.0,77.0,12.5,0.7,27.7,26.1,1.2,4.1,44.6,6.7,14.8,34.3,8706.0,0.0,0.0,0.0,0.0,5.7,4.4,4.6,39.3
Berlin Township,5881,0.0,0.0,68.1,5.3,6.9,37.2,19.8,1.9,3.8,47.1,5.7,4.9,23.8,7593.0,10.3,1.4,0.0,0.0,4.2,4.0,48.7,7.2
Brooklawn ,1894,2.0,10.55966209,77.5,11.3,6.8,39.1,10.8,4.5,9.8,36.1,4.1,19.7,48.5,8288.0,1.9,0.6,0.2,0.0,11.3,9.2,14.9,38.1
Camden city,71799,420.0,58.49663644,9.9,42.9,2.1,35.1,5.8,8.3,27.4,17.1,10.8,37.5,77.5,6258.0,5.2,0.7,0.9,1.4,12.6,4.9,24.8,35.1
Cherry Hill ,74934,2.0,0.26690154,71.1,6.6,13.5,18.8,29.4,3.8,6.2,58.4,2.7,10.2,13.9,16339.0,2.2,1.1,1.5,0.7,5.1,9.6,25.7,19.0
Chesilhurst ,1384,0.0,0.0,47.0,40.5,0.0,32.8,13.4,4.0,10.6,41.1,8.0,13.8,61.2,5104.0,1.2,0.6,0.0,0.0,12.3,11.9,27.7,7.7
Clementon ,5312,2.0,3.765060241,62.1,20.9,2.4,42.6,14.3,3.0,7.3,40.1,9.3,11.0,22.1,2917.0,2.6,2.5,0.0,0.0,5.3,3.9,32.4,24.2
