Statistics,Total Population,PIT Count,Homelessness per 10000,White Alone,Black Alone,Asian Alone,High School Graduate,Bachelors Degree,Unemployed,Living in Poverty,Married Couple Family,Male Householder,Female Householder,Single Parent Children,Median Household Income,Moved WithIn Same County,Moved From Different County,Moved From Different State,Moved From Abroad,Vacant Units,Actual Renters,30 Percent Income As Rent,50 Percent Income As Rent,Mon Housing Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddon Heights ,"7,484",,0,94.7%,1.6%,1.2%,17.5%,35.5%,3.2%,1.6%,52.1%,5.4%,6.2%,28.3%,"$117,556",6.1%,0.3%,0.4%,0.0%,4.8%,6.6%,25.7%,18.6%,18.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Nella ,883,,0,52.3%,14.8%,8.6%,46.5%,15.9%,4.1%,4.3%,27.6%,5.9%,22.4%,58.1%,"$64,423",8.9%,1.7%,0.6%,0.0%,5.4%,6.4%,36.7%,21.7%,56.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Springs ,"2,004",,0,88.1%,3.9%,4.7%,24.9%,26.2%,3.1%,8.7%,55.0%,4.7%,6.6%,7.8%,"$113,500",1.1%,1.1%,0.0%,0.0%,6.5%,0.0%,29.3%,27.8%,15.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawnside ,"3,059",4,13.07616868,6.0%,78.0%,0.6%,36.8%,8.4%,7.1%,7.7%,32.8%,7.2%,23.4%,76.6%,"$74,250",2.8%,0.2%,5.9%,0.0%,5.1%,27.2%,8.7%,33.9%,40.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindenwold ,"21,337",8,3.74935558,36.4%,32.6%,3.2%,40.7%,13.5%,2.4%,17.4%,30.0%,5.7%,15.8%,37.1%,"$53,645",7.9%,0.5%,0.6%,0.3%,6.0%,3.3%,31.5%,26.4%,56.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia ,"4,342",,0,64.4%,18.5%,7.8%,40.1%,23.6%,5.7%,4.7%,42.7%,4.1%,10.7%,32.9%,"$74,295",2.8%,0.5%,0.2%,0.4%,7.9%,1.8%,10.4%,28.7%,60.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchantville ,"3,800",,0,62.3%,12.3%,2.6%,32.3%,19.7%,1.8%,15.5%,32.7%,7.7%,20.8%,52.1%,"$72,375",2.7%,3.7%,0.0%,0.0%,8.9%,9.9%,11.7%,39.9%,44.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Ephraim ,"4,638",1,2.156101768,87.0%,0.6%,0.0%,43.2%,14.7%,5.6%,7.2%,47.3%,1.2%,9.8%,28.8%,"$81,800",1.7%,1.8%,0.3%,0.0%,4.5%,0.0%,15.5%,19.0%,23.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaklyn ,"3,937",,0,85.7%,3.7%,1.4%,25.7%,26.1%,2.4%,8.2%,39.1%,3.2%,12.0%,18.1%,"$81,012",3.9%,2.5%,2.3%,0.0%,4.3%,5.9%,23.5%,18.0%,51.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsauken ,"36,984",2,0.540774389,34.5%,29.7%,8.3%,33.6%,15.4%,5.2%,12.8%,41.0%,9.2%,21.3%,53.0%,"$80,248",2.1%,0.5%,0.3%,0.0%,5.8%,5.9%,27.2%,25.6%,39.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
